,Country,Page Code,League Name,League Division,Link
131,Lithuania,98,A Lyga - Championship Round,2.0,https://www.transfermarkt.com/a-lyga-championship-round/startseite/wettbewerb/LIM
132,Lithuania,98,Lithuanian Supercup,3.0,https://www.transfermarkt.com/lithuanian-supercup/startseite/wettbewerb/LTSC
133,Luxembourg,99,BGL Ligue,1.0,https://www.transfermarkt.com/bgl-ligue/startseite/wettbewerb/LUX1
134,Luxembourg,99,Ehrenpromotion,2.0,https://www.transfermarkt.com/ehrenpromotion/startseite/wettbewerb/LUX2
135,Luxembourg,99,Coupe de Luxembourg,3.0,https://www.transfermarkt.com/coupe-de-luxembourg/startseite/wettbewerb/LUXP
136,Malaysia,103,Super League,1.0,https://www.transfermarkt.com/malaysia-super-league/startseite/wettbewerb/MYS1
137,Malta,106,Premier League,1.0,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/MAL1
138,Malta,106,Challenge League,2.0,https://www.transfermarkt.com/challenge-league/startseite/wettbewerb/MAL2
139,Malta,106,Maltese Super Cup,3.0,https://www.transfermarkt.com/maltese-super-cup/startseite/wettbewerb/MALS
140,Mexico,110,Liga MX Apertura,1.0,https://www.transfermarkt.com/liga-mx-apertura/startseite/wettbewerb/MEXA
141,Mexico,110,Liga Expansión MX Ap.,2.0,https://www.transfermarkt.com/liga-de-expansion-mx-apertura/startseite/wettbewerb/MEXB
142,Moldova,112,Divizia Nationala,1.0,https://www.transfermarkt.com/divizia-nationala/startseite/wettbewerb/MO1N
143,Montenegro,216,1. CFL,1.0,https://www.transfermarkt.com/telekom-1-cfl/startseite/wettbewerb/MNE1
144,Montenegro,216,Druga Liga,2.0,https://www.transfermarkt.com/amplitudo-2-cfl/startseite/wettbewerb/MNE2
145,Morocco,107,Botola Pro,1.0,https://www.transfermarkt.com/botola-pro/startseite/wettbewerb/MAR1
146,Morocco,107,Coupe du Trône Marocaine,2.0,https://www.transfermarkt.com/coupe-du-trone-marocaine/startseite/wettbewerb/MARP
147,Myanmar,116,National League,1.0,https://www.transfermarkt.com/myanmar-national-league/startseite/wettbewerb/MYA1
148,Netherlands,122,Eredivisie,1.0,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1
149,Netherlands,122,Keuken Kampioen Divisie,2.0,https://www.transfermarkt.com/keuken-kampioen-divisie/startseite/wettbewerb/NL2
150,Netherlands,122,Tweede Divisie,3.0,https://www.transfermarkt.com/tweede-divisie/startseite/wettbewerb/NTD
151,New Zealand,120,New Zealand Premiership,1.0,https://www.transfermarkt.com/new-zealand-premiership/startseite/wettbewerb/NZL1
152,Nigeria,124,Nigeria Professional Football League,1.0,https://www.transfermarkt.com/nigeria-professional-football-league/startseite/wettbewerb/NPFL
153,Nigeria,124,Nigeria Professional Football League Playoffs,2.0,https://www.transfermarkt.com/nigeria-professional-football-league-playoffs/startseite/wettbewerb/NPPL
154,North Macedonia,100,Prva liga,1.0,https://www.transfermarkt.com/prva-makedonska-fudbalska-liga/startseite/wettbewerb/MAZ1
155,Northern Ireland,192,Premiership,1.0,https://www.transfermarkt.com/danske-bank-premiership/startseite/wettbewerb/NIR1
156,Norway,125,Eliteserien,1.0,https://www.transfermarkt.com/eliteserien/startseite/wettbewerb/NO1
157,Norway,125,OBOS-ligaen,2.0,https://www.transfermarkt.com/obos-ligaen/startseite/wettbewerb/NO2
158,Norway,125,PostNord-ligaen Avd. 1,3.0,https://www.transfermarkt.com/postnord-ligaen-avd-1/startseite/wettbewerb/NO31
159,Paraguay,132,Primera División Apertura,1.0,https://www.transfermarkt.com/primera-division-apertura/startseite/wettbewerb/PR1A
160,Paraguay,132,Primera División Clausura,2.0,https://www.transfermarkt.com/primera-division-clausura/startseite/wettbewerb/PR1C
161,Peru,133,Liga 1 Apertura,1.0,https://www.transfermarkt.com/liga-1-apertura/startseite/wettbewerb/TDeA
162,Peru,133,Liga 1 Clausura,2.0,https://www.transfermarkt.com/liga-1-clausura/startseite/wettbewerb/TDeC
163,Peru,133,Liga 2,3.0,https://www.transfermarkt.com/liga-2/startseite/wettbewerb/PER2
164,Philippines,134,PFL,1.0,https://www.transfermarkt.com/philippines-football-league/startseite/wettbewerb/PFL1
165,Poland,135,Ekstraklasa,1.0,https://www.transfermarkt.com/pko-ekstraklasa/startseite/wettbewerb/PL1
166,Poland,135,1 Liga,2.0,https://www.transfermarkt.com/fortuna-1-liga/startseite/wettbewerb/PL2
167,Poland,135,2 Liga,3.0,https://www.transfermarkt.com/2-liga/startseite/wettbewerb/PL2L
168,Portugal,136,Liga NOS,1.0,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1
169,Portugal,136,Liga Portugal 2,2.0,https://www.transfermarkt.com/liga-portugal-2-sabseg/startseite/wettbewerb/PO2
170,Portugal,136,Liga Revelacao,3.0,https://www.transfermarkt.com/liga-revelacao/startseite/wettbewerb/PT23
171,Qatar,137,Stars League,1.0,https://www.transfermarkt.com/qatar-stars-league/startseite/wettbewerb/QSL
172,Qatar,137,Stars Cup,2.0,https://www.transfermarkt.com/qatari-stars-cup/startseite/wettbewerb/QSCP
173,Russia,141,Liga 1,1.0,https://www.transfermarkt.com/liga-1/startseite/wettbewerb/RO1
174,Russia,141,Liga 2,2.0,https://www.transfermarkt.com/liga-2/startseite/wettbewerb/RO2
175,Russia,141,Cupa României,3.0,https://www.transfermarkt.com/cupa-romaniei/startseite/wettbewerb/ROMP
176,Rwanda,139,Premier Liga,1.0,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/RU1
177,Rwanda,139,1.Division,2.0,https://www.transfermarkt.com/1-division/startseite/wettbewerb/RU2
178,Rwanda,139,PFL Group 2,3.0,https://www.transfermarkt.com/russian-pfl-group-2/startseite/wettbewerb/RPLW
179,San Marino,144,Camp. Sammarinese,1.0,https://www.transfermarkt.com/campionato-sammarinese/startseite/wettbewerb/SMR1
180,San Marino,144, Coppa Titano,2.0,https://www.transfermarkt.com/coppa-titano/startseite/wettbewerb/SMP1
181,Saudi Arabia,146,Professional League,1.0,https://www.transfermarkt.com/saudi-professional-league/startseite/wettbewerb/SA1
182,Scotland,190,Premiership,1.0,https://www.transfermarkt.com/scottish-premiership/startseite/wettbewerb/SC1
183,Scotland,190,Championship,2.0,https://www.transfermarkt.com/scottish-championship/startseite/wettbewerb/SC2
184,Scotland,190,League One,3.0,https://www.transfermarkt.com/scottish-league-one/startseite/wettbewerb/SC3
185,Serbia,215,Super liga Srbije,1.0,https://www.transfermarkt.com/super-liga-srbije/startseite/wettbewerb/SER1
186,Serbia,215,Prva liga Srbije,2.0,https://www.transfermarkt.com/prva-liga-srbije/startseite/wettbewerb/SER2
187,Serbia,215,Kup Srbije,3.0,https://www.transfermarkt.com/kup-srbije/startseite/wettbewerb/SERP
188,Singapore,153,Premier League,1.0,https://www.transfermarkt.com/singapore-premier-league/startseite/wettbewerb/SIN1
189,Singapore,153,Singapore Community Shield,2.0,https://www.transfermarkt.com/singapore-community-shield/startseite/wettbewerb/SPCS
190,Slovakia,154,Fortuna Liga,1.0,https://www.transfermarkt.com/fortuna-liga/startseite/wettbewerb/SLO1
191,Slovakia,154,II. Liga,2.0,https://www.transfermarkt.com/ii-liga/startseite/wettbewerb/SK2
192,Slovakia,154,Slovnaft Cup,3.0,https://www.transfermarkt.com/slovnaft-cup/startseite/wettbewerb/SKC
193,Slovenia,155,Prva Liga,1.0,https://www.transfermarkt.com/prva-liga/startseite/wettbewerb/SL1
194,Slovenia,155,Druga Liga,2.0,https://www.transfermarkt.com/druga-liga/startseite/wettbewerb/SL2
195,Slovenia,155,Pokal Slovenije,3.0,https://www.transfermarkt.com/pokal-slovenije/startseite/wettbewerb/SLP
196,South Africa,159,DStv Premiership,1.0,https://www.transfermarkt.com/dstv-premiership/startseite/wettbewerb/SFA1
197,South Africa,159,MTN8,2.0,https://www.transfermarkt.com/mtn8/startseite/wettbewerb/SFAL
